sub_id,condition_short,check_methods,method
Z9N7ovz,Other dietary restriction,"Google it, Ask the staff or whoever made it",Google it
Z9N7ovz,Other dietary restriction,"Google it, Ask the staff or whoever made it",Ask staff / maker
Ardg2oe,Someone close to me,"Ask the staff or whoever made it, Google it",Ask staff / maker
Ardg2oe,Someone close to me,"Ask the staff or whoever made it, Google it",Google it
OQz2XDg,Lactose intolerance,"Ask the staff or whoever made it, Avoid anything I'm uncertain about",Ask staff / maker
OQz2XDg,Lactose intolerance,"Ask the staff or whoever made it, Avoid anything I'm uncertain about",Avoid uncertain food
Nq6jADO,Other dietary restriction,"Read the label carefully, Google it",Read the label
Nq6jADO,Other dietary restriction,"Read the label carefully, Google it",Google it
LDbepNp,Other dietary restriction,"Read the label carefully, Use an app, Ask the staff or whoever made it, Google it",Read the label
LDbepNp,Other dietary restriction,"Read the label carefully, Use an app, Ask the staff or whoever made it, Google it",Use an app
LDbepNp,Other dietary restriction,"Read the label carefully, Use an app, Ask the staff or whoever made it, Google it",Ask staff / maker
LDbepNp,Other dietary restriction,"Read the label carefully, Use an app, Ask the staff or whoever made it, Google it",Google it
rD6zVjo,Other dietary restriction,Ask the staff or whoever made it,Ask staff / maker
LDbQ19z,Food allergy,"Read the label carefully, Ask the staff or whoever made it, Avoid anything I'm uncertain about, Google it",Read the label
LDbQ19z,Food allergy,"Read the label carefully, Ask the staff or whoever made it, Avoid anything I'm uncertain about, Google it",Ask staff / maker
LDbQ19z,Food allergy,"Read the label carefully, Ask the staff or whoever made it, Avoid anything I'm uncertain about, Google it",Avoid uncertain food
LDbQ19z,Food allergy,"Read the label carefully, Ask the staff or whoever made it, Avoid anything I'm uncertain about, Google it",Google it
Gez2dqp,Other dietary restriction,"Read the label carefully, Avoid anything I'm uncertain about, Google it",Read the label
Gez2dqp,Other dietary restriction,"Read the label carefully, Avoid anything I'm uncertain about, Google it",Avoid uncertain food
Gez2dqp,Other dietary restriction,"Read the label carefully, Avoid anything I'm uncertain about, Google it",Google it
Arl2Vro,Other dietary restriction,Read the label carefully,Read the label
yXl4eVB,Other dietary restriction,"Google it, Avoid anything I'm uncertain about, Read the label carefully",Google it
yXl4eVB,Other dietary restriction,"Google it, Avoid anything I'm uncertain about, Read the label carefully",Avoid uncertain food
yXl4eVB,Other dietary restriction,"Google it, Avoid anything I'm uncertain about, Read the label carefully",Read the label
2j4KLkg,Acid reflux / GERD,Ask the staff or whoever made it,Ask staff / maker
1WrVgGL,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Google it
1WrVgGL,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Read the label
1WrVgGL,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Ask staff / maker
1WrVgGL,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Use an app
1WrVgGL,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Avoid uncertain food
Z9d6JEa,Someone close to me,Use an app,Use an app
KpMlLaX,Acid reflux / GERD,Avoid anything I'm uncertain about,Avoid uncertain food
peLBWgV,Lactose intolerance,Use an app,Use an app
ArlLq9N,Someone close to me,Read the label carefully,Read the label
peLBvXJ,Someone close to me,Avoid anything I'm uncertain about,Avoid uncertain food
LDdWqdz,Lactose intolerance,"Read the label carefully, Google it",Read the label
LDdWqdz,Lactose intolerance,"Read the label carefully, Google it",Google it
kbY76Xj,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Google it
kbY76Xj,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Read the label
kbY76Xj,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Ask staff / maker
kbY76Xj,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Use an app
kbY76Xj,Other dietary restriction,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about",Avoid uncertain food
2j42qEV,Food allergy,Read the label carefully,Read the label
